Date,XAO,,,,,,,
4/30/85,901.92,,,,,,,
5/31/85,900.27,,,,,,,
6/30/85,887.18,,,,,,,
7/31/85,964.79,,,,,,,
8/31/85,966.54,,,,,,,
9/30/85,1017.25,,,,,,,
10/31/85,1058.58,,,,,,,
11/30/85,1021.06,,,,,,,
12/31/85,1034.5601,,,,,,,
1/31/86,1108.05,,,,,,,
2/28/86,1082.28,,,,,,,
3/31/86,1171.4301,,,,,,,
4/30/86,1247.7,,,,,,,
5/31/86,1279.34,,,,,,,
6/30/86,1216.27,,,,,,,
7/31/86,1157.9301,,,,,,,
8/31/86,1228.84,,,,,,,
9/30/86,1284.8,,,,,,,
10/31/86,1419.41,,,,,,,
11/30/86,1421.88,,,,,,,
12/31/86,1518.35,,,,,,,
1/31/87,1542.16,,,,,,,
2/28/87,1663.46,,,,,,,
3/31/87,1741.59,,,,,,,
4/30/87,1803.22,,,,,,,
5/31/87,1824.86,,,,,,,
6/30/87,1818.16,,,,,,,
7/31/87,2092.6299,,,,,,,
8/31/87,2215.8899,,,,,,,
9/30/87,2318.1299,,,,,,,
10/31/87,1334.17,,,,,,,
11/30/87,1370.25,,,,,,,
12/31/87,1359.22,,,,,,,
1/31/88,1295.63,,,,,,,
2/29/88,1289.03,,,,,,,
3/31/88,1458.67,,,,,,,
4/30/88,1501.24,,,,,,,
5/31/88,1614.92,,,,,,,
6/30/88,1602.66,,,,,,,
7/31/88,1661.09,,,,,,,
8/31/88,1618.73,,,,,,,
9/30/88,1599.15,,,,,,,
10/31/88,1635.53,,,,,,,
11/30/88,1516.49,,,,,,,
12/31/88,1532.78,,,,,,,
1/31/89,1598.33,,,,,,,
2/28/89,1530.82,,,,,,,
3/31/89,1504.33,,,,,,,
4/30/89,1546.59,,,,,,,
5/31/89,1576.89,,,,,,,
6/30/89,1567.72,,,,,,,
7/31/89,1684.39,,,,,,,
8/31/89,1817.24,,,,,,,
9/30/89,1789.2,,,,,,,
10/31/89,1696.65,,,,,,,
11/30/89,1660.99,,,,,,,
12/31/89,1700.36,,,,,,,
1/31/90,1728.4,,,,,,,
2/28/90,1621.21,,,,,,,
3/31/90,1582.87,,,,,,,
4/30/90,1478.46,,,,,,,
5/31/90,1557.93,,,,,,,
6/30/90,1546.69,,,,,,,
7/31/90,1622.14,,,,,,,
8/31/90,1553.8,,,,,,,
9/30/90,1439.61,,,,,,,
10/31/90,1367.87,,,,,,,
11/30/90,1360.14,,,,,,,
12/31/90,1319.02,,,,,,,
1/31/91,1362,,,,,,,
2/28/91,1448.68,,,,,,,
3/31/91,1488.46,,,,,,,
4/30/91,1581.22,,,,,,,
5/31/91,1556.28,,,,,,,
6/30/91,1552.36,,,,,,,
7/31/91,1620.49,,,,,,,
8/31/91,1587.61,,,,,,,
9/30/91,1609.97,,,,,,,
10/31/91,1734.58,,,,,,,
11/30/91,1656.15,,,,,,,
12/31/91,1702.01,,,,,,,
1/31/92,1672.43,,,,,,,
2/29/92,1663.67,,,,,,,
3/31/92,1631.1,,,,,,,
4/30/92,1706.65,,,,,,,
5/31/92,1729.74,,,,,,,
6/30/92,1690.11,,,,,,,
7/31/92,1657.48,,,,,,,
8/31/92,1580.99,,,,,,,
9/30/92,1509.98,,,,,,,
10/31/92,1450.22,,,,,,,
11/30/92,1478.23,,,,,,,
12/31/92,1589.15,,,,,,,
1/31/93,1560.5,,,,,,,
2/28/93,1645.93,,,,,,,
3/31/93,1701.88,,,,,,,
4/30/93,1714.25,,,,,,,
5/31/93,1768.63,,,,,,,
6/30/93,1765.97,,,,,,,
7/31/93,1870.44,,,,,,,
8/31/93,1998.55,,,,,,,
9/30/93,1954.62,,,,,,,
10/31/93,2107.63,,,,,,,
11/30/93,1988.98,,,,,,,
12/31/93,2153.27,,,,,,,
1/31/94,2288.44,,,,,,,
2/28/94,2154.71,,,,,,,
3/31/94,2019.65,,,,,,,
4/30/94,2044.67,,,,,,,
5/31/94,2061.39,,,,,,,
6/30/94,1970.92,,,,,,,
7/31/94,2043.41,,,,,,,
8/31/94,2104.15,,,,,,,
9/30/94,2005.55,,,,,,,
10/31/94,2017.62,,,,,,,
11/30/94,1868.41,,,,,,,
12/31/94,1891.73,,,,,,,
1/31/95,1818.94,,,,,,,
2/28/95,1914.59,,,,,,,
3/31/95,1899.54,,,,,,,
4/30/95,2039.9,,,,,,,
5/31/95,2014.24,,,,,,,
6/30/95,2012.75,,,,,,,
7/31/95,2117.46,,,,,,,
8/31/95,2131.28,,,,,,,
9/30/95,2126.62,,,,,,,
10/31/95,2063.32,,,,,,,
11/30/95,2147.63,,,,,,,
12/31/95,2188.53,,,,,,,
1/31/96,2260.97,,,,,,,
2/29/96,2263.7,,,,,,,
3/31/96,2198.14,,,,,,,
4/30/96,2285.71,,,,,,,
5/31/96,2235.93,,,,,,,
6/30/96,2207.63,,,,,,,
7/31/96,2147.37,,,,,,,
8/31/96,2230.05,,,,,,,
9/30/96,2249.86,,,,,,,
10/31/96,2320.65,,,,,,,
11/30/96,2361.38,,,,,,,
12/31/96,2404.81,,,,,,,
1/31/97,2406.62,,,,,,,
2/28/97,2422.87,,,,,,,
3/31/97,2396.29,,,,,,,
4/30/97,2453.95,,,,,,,
5/31/97,2574.87,,,,,,,
6/30/97,2693.09,,,,,,,
7/31/97,2695.43,,,,,,,
8/31/97,2548.8,,,,,,,
9/30/97,2723.74,,,,,,,
10/31/97,2429.51,,,,,,,
11/30/97,2439.57,,,,,,,
12/31/97,2579.52,,,,,,,
1/31/98,2611.55,,,,,,,
2/28/98,2630.33,,,,,,,
3/31/98,2688.54,,,,,,,
4/30/98,2712.93,,,,,,,
5/31/98,2655.13,,,,,,,
6/30/98,2620.6,,,,,,,
7/31/98,2661.94,,,,,,,
8/31/98,2423.73,,,,,,,
9/30/98,2497.69,,,,,,,
10/31/98,2548.14,,,,,,,
11/30/98,2669.67,,,,,,,
12/31/98,2696.98,,,,,,,
1/31/99,2751.37,,,,,,,
2/28/99,2742.24,,,,,,,
3/31/99,2843.34,,,,,,,
4/30/99,3016.32,,,,,,,
5/31/99,2823.86,,,,,,,
6/30/99,2886.05,,,,,,,
7/31/99,2936.45,,,,,,,
8/31/99,2852.51,,,,,,,
9/30/99,2805.2,,,,,,,
10/31/99,2809.42,,,,,,,
11/30/99,2949.07,,,,,,,
12/31/99,3108.81,,,,,,,
1/31/00,3085.72,,,,,,,
2/29/00,3133.35,,,,,,,
3/31/00,3133.3,,,,,,,
4/30/00,3085.1001,,,,,,,
5/31/00,3040.6001,,,,,,,
6/30/00,3257.6001,,,,,,,
7/31/00,3213.6001,,,,,,,
8/31/00,3261.7,,,,,,,
9/30/00,3246.1001,,,,,,,
10/31/00,3203.8999,,,,,,,
11/30/00,3222,,,,,,,
12/31/00,3154.7,,,,,,,
1/31/01,3291.5,,,,,,,
2/28/01,3274.1001,,,,,,,
3/31/01,3096.8999,,,,,,,
4/30/01,3270.3,,,,,,,
5/31/01,3317.2,,,,,,,
6/30/01,3425.2,,,,,,,
7/31/01,3270.8,,,,,,,
8/31/01,3217.8,,,,,,,
9/30/01,2988,,,,,,,
10/31/01,3185.3,,,,,,,
11/30/01,3276.8999,,,,,,,
12/31/01,3360,,,,,,,
1/31/02,3404,,,,,,,
2/28/02,3358.6001,,,,,,,
3/31/02,3363.3,,,,,,,
4/30/02,3299.5,,,,,,,
5/31/02,3325.1001,,,,,,,
6/30/02,3163.2,,,,,,,
7/31/02,3032.6001,,,,,,,
8/31/02,3073.6001,,,,,,,
9/30/02,2928.3,,,,,,,
10/31/02,2995,,,,,,,
11/30/02,3025.2,,,,,,,
12/31/02,2975.5,,,,,,,
1/31/03,2935.3999,,,,,,,
2/28/03,2778.3999,,,,,,,
3/31/03,2848.6001,,,,,,,
4/30/03,2970.8999,,,,,,,
5/31/03,2979.8,,,,,,,
6/30/03,2999.7,,,,,,,
7/31/03,3106.7,,,,,,,
8/31/03,3202.9,,,,,,,
9/30/03,3176.2,,,,,,,
10/31/03,3282.4,,,,,,,
11/30/03,3195.7,,,,,,,
12/31/03,3306,,,,,,,
1/31/04,3283.6,,,,,,,
2/29/04,3372.5,,,,,,,
3/31/04,3416.5,,,,,,,
4/30/04,3407.7,,,,,,,
5/31/04,3456.883,,,,,,,
6/30/04,3530.268,,,,,,,
7/31/04,3546.065,,,,,,,
8/31/04,3561.9,,,,,,,
9/30/04,3674.679,,,,,,,
10/31/04,3786.336,,,,,,,
11/30/04,3942.76,,,,,,,
12/31/04,4053.1,,,,,,,
1/31/05,4106.673,,,,,,,
2/28/05,4156.54,,,,,,,
3/31/05,4100.622,,,,,,,
4/30/05,3943.127,,,,,,,
5/31/05,4070.429,,,,,,,
6/30/05,4229.891,,,,,,,
7/31/05,4346.723,,,,,,,
8/31/05,4413.498,,,,,,,
9/30/05,4592.563,,,,,,,
10/31/05,4412.72,,,,,,,
11/30/05,4583.627,,,,,,,
12/31/05,4708.8,,,,,,,
1/31/06,4880.227,,,,,,,
2/28/06,4878.361,,,,,,,
3/31/06,5087.183,,,,,,,
4/30/06,5207.014,,,,,,,
5/31/06,4972.275,,,,,,,
6/30/06,5034,,,,,,,
7/31/06,4957.081,,,,,,,
8/31/06,5079.77,,,,,,,
9/30/06,5112.996,,,,,,,
10/31/06,5352.934,,,,,,,
11/30/06,5461.561,,,,,,,
12/31/06,5644.344,,,,,,,
1/31/07,5757.692,,,,,,,
2/28/07,5816.5,,,,,,,
3/31/07,5978.78,,,,,,,
4/30/07,6158.266,,,,,,,
5/31/07,6341.787,,,,,,,
6/30/07,6310.574,,,,,,,
7/31/07,6187.543,,,,,,,
8/31/07,6248.347,,,,,,,
9/30/07,6580.936,,,,,,,
10/31/07,6779.091,,,,,,,
11/30/07,6593.6,,,,,,,
12/31/07,6421,,,,,,,
1/31/08,5697.027,,,,,,,
2/29/08,5674.685,,,,,,,
3/31/08,5409.695,,,,,,,
4/30/08,5656.956,,,,,,,
5/31/08,5773.937,,,,,,,
6/30/08,5332.885,,,,,,,
7/31/08,5052.575,,,,,,,
8/31/08,5215.466,,,,,,,
9/30/08,4631.281,,,,,,,
10/31/08,3982.706,,,,,,,
11/30/08,3672.668,,,,,,,
12/31/08,3659.291,,,,,,,
1/31/09,3478.147,,,,,,,
2/28/09,3296.897,,,,,,,
3/31/09,3532.302,,,,,,,
4/30/09,3744.668,,,,,,,
5/31/09,3813.283,,,,,,,
6/30/09,3947.789,,,,,,,
7/31/09,4249.545,,,,,,,
8/31/09,4484.133,,,,,,,
9/30/09,4739.258,,,,,,,
10/31/09,4646.885,,,,,,,
11/30/09,4715.481,,,,,,,
12/31/09,4882.714,,,,,,,
1/31/10,4596.877,,,,,,,
2/28/10,4651.114286887,,,,,,,
3/31/10,4893.06370975523,,,,,,,
4/30/10,4833.87854517309,,,,,,,
5/31/10,4453.58746308045,,,,,,,
6/30/10,4324.76879015625,,,,,,,
7/31/10,4507.43802736507,,,,,,,
8/31/10,4438.83481459696,,,,,,,
9/30/10,4636.86010833675,,,,,,,
10/31/10,4733.40943922549,,,,,,,
11/30/10,4676.43660199298,,,,,,,
12/31/10,4846.88444963809,,,,,,,
1/31/11,4849.95370931903,,,,,,,
2/28/11,4923.633136,,,,,,,
3/31/11,4928.61397579699,,,,,,,
4/30/11,4899.04891484038,,,,,,,
5/31/11,4788.91991345721,,,,,,,
6/30/11,4659.78708243783,,,,,,,
7/31/11,4500.53156349196,,,,,,,
8/31/11,4369.85152115439,,,,,,,
9/30/11,4070.09001317088,,,,,,,
10/31/11,4360.46193099485,,,,,,,
11/30/11,4184.66949417146,,,,,,,
12/31/11,4111.03797048012,,,,,,,
1/31/12,4325.71495370635,,,,,,,
2/29/12,4388.08331088417,,,,,,,
3/31/12,4419.97074653448,,,,,,,
4/30/12,4467.20190891507,,,,,,,
5/31/12,4133.731461878,,,,,,,
6/30/12,4135.45957322896,,,,,,,
7/31/12,4289.37644114399,,,,,,,
8/31/12,4339.0206351579,,,,,,,
9/30/12,4406.33941980653,,,,,,,
10/31/12,4535.36430469853,,,,,,,
11/30/12,4518.02642686702,,,,,,,
12/31/12,4664.58850908554,,,,,,,
1/31/13,4901.01356260222,,,,,,,
2/28/13,5120.3775424836,,,,,,,
3/31/13,4979.8683739014,,,,,,,
4/30/13,5168.60126611602,,,,,,,
5/31/13,4914.03408399651,,,,,,,
6/30/13,4775.4122174121,,,,,,,
7/31/13,5035.66548605489,,,,,,,
8/31/13,5125.29547970481,,,,,,,
9/30/13,5217.73949428559,,,,,,,
10/31/13,5420.28355720409,,,,,,,
11/30/13,5314.32286055062,,,,,,,
12/31/13,5353.07985474387,,,,,,,
1/31/14,5205.10169204352,,,,,,,
2/28/14,5415.44699607354,,,,,,,
3/31/14,5402.98784821712,,,,,,,
4/30/14,5470.75220771887,,,,,,,
5/31/14,5473.77144365825,,,,,,,
6/30/14,5382.02909402619,,,,,,,
7/31/14,5623.12213275865,,,,,,,
8/31/14,5624.56586003185,,,,,,,
9/30/14,5296.75462085753,,,,,,,
10/31/14,5505.01811151084,,,,,,,
11/30/14,5298.11157215077,,,,,,,
12/31/14,5388.60079083926,,,,,,,
1/31/15,5551.58286137105,,,,,,,
2/28/15,5898.48387822951,,,,,,,
3/31/15,5861.92311867439,,,,,,,
4/30/15,5773.67274854997,,,,,,,
5/31/15,5774.94821024238,,,,,,,
6/30/15,5451.19569629959,,,,,,,
7/31/15,5681.68821118447,,,,,,,
8/31/15,5222.08043764278,,,,,,,
9/30/15,5058.59824244028,,,,,,,
10/31/15,5288.56431988647,,,,,,,
11/30/15,5218.19212103337,,,,,,,
12/31/15,5344.55602054788,,,,,,,
1/31/16,5056.59634997714,,,,,,,
2/29/16,4947.94512262648,,,,,,,
3/31/16,5151.78780870093,,,,,,,
4/30/16,5316.00420444225,,,,,,,